type	locus	start	end	orientation	annot
CDS	STM0001	190	255	0	thr operon leader peptide
CDS	STM0002	337	2799	0	multifunctional homotetrameric enzyme thatcatalyzes the phosphorylation of aspartate to formbifunctional aspartokinase I/homoserinedehydrogenase I
CDS	STM0003	2801	3730	0	catalyzes the formation of O-phospho-L-homoserinefrom L-homoserine in threonine biosynthesis from asparatehomoserine kinase
CDS	STM0004	3734	5020	0	catalyzes the formation of L-threonine fromO-phospho-L-homoserinethreonine synthase
CDS	STM0005	5114	5887	11	hypothetical protein
CDS	STM0006	5966	7396	11	alanine/glycine transport protein
CDS	STM0007	7665	8618	0	Maintains the balance of metabolites in thepentose-phosphate pathwaytransaldolase B
CDS	STM0008	8729	9319	0	forms a trimer; related to eukaryotic proteingephyrin; functions during molybdenum cofactormolybdochetalase
CDS	STM0009	9376	9942	11	hypothetical protein
CDS	STM0010	10092	10805	11	hypothetical protein
CDS	STM0011	10841	11245	11	hypothetical protein
CDS	STM0012	11593	13509	0	heat shock protein 70; assists in folding ofnascent polypeptide chains; refolding of misfoldedchaperone protein DnaK
CDS	STM0013	13595	14734	0	chaperone Hsp40; co-chaperone with DnaK;Participates actively in the response to hyperosmotic andchaperone protein DnaJ
CDS	STM0014	15014	15961	0	LysR family transcriptional regulator
CDS	STM0018	17867	19966	0	exochitinase
CDS	STM0019	20058	23054	0	hydroxymethyltransferase
CDS	STM0020	23335	24039	0	cytoplasmic protein
CDS	STM0021	24469	25011	0	fimbrial subunit
CDS	STM0022	25112	25798	0	fimbrial chaperone
CDS	STM0023	25803	28424	0	bovine colonization factor BcfCfimbrial usher
CDS	STM0024	28425	29432	0	fimbrial subunit
CDS	STM0025	29433	29978	0	fimbrial subunit
CDS	STM0026	29994	30512	0	fimbrial subunit
CDS	STM0027	30478	31209	0	fimbrial chaperone
CDS	STM0028	31274	32119	0	thiol-disulfide isomerase
CDS	STM0028	32116	32445	0	hypothetical protein
CDS	STM0029	32545	32994	11	transcriptional regulator
CDS	STM0030	33364	34368	0	LysR family transcriptional regulator
CDS	STM0031	34376	34816	11	transcriptional regulator
CDS	STM0032	35339	37057	0	arylsulfatase
CDS	STM0033	37103	38674	11	5'-nucleotidase
CDS	STM0034	38773	39534	11	outer membrane/exported protein
CDS	STM0035	40131	41624	0	arylsulfatase
CDS	STM0036	41723	42913	0	arylsulfatase regulator
CDS	STM0037	42932	44185	0	cytoplasmic protein
CDS	STM0038	44312	46027	0	arylsulfatase
CDS	STM0039	46190	47356	0	exports sodium by using the electrochemical protongradient to allow protons into the cell; functions inNa(+)/H(+) antiporter NhaA
CDS	STM0040	47418	48317	0	Na+/H+ antiporter regulatory protein; activates thegenes nhaA and osmCtranscriptional activator NhaR
CDS	STM0041	48372	50411	11	glycosyl hydrolase
CDS	STM0042	50451	51824	11	sodium galactoside symporter
CDS	STM0043	52280	52543	11	binds directly to the 16S rRNA and is involved inpost-translational inhibition of arginine and ornithine30S ribosomal protein S20
CDS	STM0044	52649	52864	0	cytoplasmic protein
CDS	STM0045	52872	53810	0	catalyzes the formation of FMN from riboflavin andthe formation of FAD from FMN; in Bacillus the ribC genebifunctional riboflavin kinase/FMNadenylyltransferase
CDS	STM0046	53855	56689	0	IleRS; catalyzes the formation ofisoleucyl-tRNA(Ile) from isoleucine and tRNA(Ile); sinceisoleucine--tRNA ligase
CDS	STM0047	56689	57189	0	lipoprotein signal peptidase; integral membraneprotein that removes signal peptides from prolipoproteinslipoprotein signal peptidase
CDS	STM0048	57344	57793	0	peptidyl-prolyl cis-trans isomerase
CDS	STM0049	57796	58746	0	catalyzes the conversion of1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into4-hydroxy-3-methylbut-2-enyl diphosphatereductase
CDS	STM0050	58946	60148	0	nitrite reductase
CDS	STM0051	60164	61084	0	catalyzes the hydrolysis of both purine andpyrimidine ribonucleosidesribonucleoside hydrolase RihC
CDS	STM0052	61106	61792	11	transcriptional regulator
CDS	STM0053	61794	63413	11	sensory histidine kinase
CDS	STM0054	63548	64849	11	oxaloacetate decarboxylase beta chain(SW:DCOB_SALTY)oxalacetate decarboxylase subunit beta
CDS	STM0055	64862	66637	11	catalyzes the formation of pyruvate fromoxaloacetateoxaloacetate decarboxylase subunit alpha
CDS	STM0056	66654	66893	11	catalyzes the decarboxylation of oxaloacetate toform pyruvate and carbon dioxideoxaloacetate decarboxylase subunit gamma
CDS	STM0057	67052	68392	11	citrate-sodium symporter
CDS	STM0058	68637	69680	0	citrate lyase synthetase
CDS	STM0059	69710	70003	0	acyl carrier protein; with CitE and CitF catalyzesthe formation of oxaloacetate from citratecitrate lyase subunit gamma
CDS	STM0060	70000	70869	0	citrate lyase subunit beta
CDS	STM0061	70880	72400	0	citrate-ACP transferasecitrate lyase subunit alpha
CDS	STM0062	72400	72951	0	cytoplasmic protein
CDS	STM0063	72929	73837	0	modifier of citrate lyase protein2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-Asynthase
CDS	STM0064	74017	74838	0	catalyzes the reduction of 2,3-dihydrodipicolinateto 2,3,4,5-tetrahydrodipicolinate in lysine and4-hydroxy-tetrahydrodipicolinate reductase
CDS	STM04610	74964	75239	11	hypothetical protein
CDS	STM0066	75880	77028	0	catalyzes production of carbamoyl phosphate frombicarbonate and glutamine in pyrimidine and argininecarbamoyl phosphate synthase small subunit
CDS	STM0067	77047	80274	0	four CarB-CarA dimers form the carbamoyl phosphatesynthetase holoenzyme that catalyzes the production ofcarbamoyl phosphate synthase large subunit
CDS	STM0068	80548	80943	0	regulator of carnitine metabolism; induces thecaiTABCDE and fixABCX operonsDNA-binding transcriptional activator CaiF
CDS	STM0069	81020	81616	11	involved in the synthesis of a cofactor requiredfor carnitine dehydratase and carnitine racemasecarnitine operon protein CaiE
CDS	STM0070	81725	82510	11	catalyzes the dehydration of L-carnitinyl-CoA tocrotonobetainyl-CoAcarnitinyl-CoA dehydratase
CDS	STM0071	82564	84117	11	crotonobetaine/carnitine-CoA ligase
CDS	STM0072	84180	85397	11	catalyzes formation of L-carnitinyl-CoA bytransfering the CoA moiety from gamma-butyrobetainyl-CoA,crotonobetainyl-CoA:carnitine CoA-transferase
CDS	STM0073	85509	86651	11	catalyzes the reduction of crotonobetainyl-CoA togamma-butyrobetainyl-CoAcrotonobetainyl-CoA dehydrogenase
CDS	STM0074	86686	88203	11	catalyzes the exchange of L-carnitine forgamma-butyrobetaine in carnitine metabolismL-carnitine/gamma-butyrobetaine antiporter
CDS	STM04615	88431	88616	0	hypothetical protein
CDS	STM0075	88684	89454	0	required for anaerobic carnitine reduction, may actto transfer electrons to crotonobetaine reductaseelectron transfer flavoprotein FixA
CDS	STM0076	89470	90411	0	involved in electron transfer during carnitinemetabolismelectron transfer flavoprotein FixB
CDS	STM0077	90461	91747	0	FAD/NAD(P)-binding domain; possibly part of anelectron transfer system required for anaerobic carnitineoxidoreductase FixC
CDS	STM0078	91744	92031	0	ferredoxin-lik3 protein FixX
CDS	STM0079	92178	93518	0	MFS family transporter
CDS	STM0080	93607	93837	0	outer membrane lipoprotein
CDS	STM0081	94131	94547	0	hypothetical protein
CDS	STM0082	94771	95061	11	hypothetical protein
CDS	STM0084	95959	97848	0	sulfatase
CDS	STM0085	98255	98785	0	Required for full activity of KefC, apotassium-proton antiporterglutathione-regulated potassium-efflux systemancillary protein KefF
CDS	STM0086	98778	100640	0	transport system that facilitates potassium-effluxglutathione-regulated potassium-efflux systemprotein KefC
CDS	STM0087	100839	101318	0	catalyzes the reduction of dihydrofolate totetrahydrofolatedihydrofolate reductase
CDS	STM0088	101424	102272	11	hydrolyzes P(1),P(4)-bis(5'-adenosyl)tetraphosphate to form 2 ADPbis(5'-nucleosyl)-tetraphosphatase
CDS	STM0089	102283	102660	11	protein associated with Co2+ and Mg2+ effluxprotein ApaG
CDS	STM0090	102663	103484	11	catalyzes the transfer of a total of four methylgroups from S-adenosyl-l-methionine (S-AdoMet) to tworRNA small subunit methyltransferase A
CDS	STM0091	103481	104470	11	catalyzes oxidation of4-(phosphohydroxy)-L-threonine into4-hydroxythreonine-4-phosphate dehydrogenase
CDS	STM0092	104470	105756	11	peptidyl-prolyl cis-trans isomerase involved in thefolding of extracytoplasmic proteins, especially OmpA,chaperone SurA
CDS	STM0093	105810	108170	11	organic solvent tolerance protein; determinesN-hexane tolerance and is involved in outer membraneLPS-assembly protein LptD
CDS	STM0094	108424	109236	0	functions as a co-chaperone with DnaK; involved inregulation of colanic acid capsule; inner membraneDna-J like protein
CDS	STM0095	109331	109990	11	catalyzes the synthesis of pseudouridine fromuracil-746 in 23S ribosomal RNA and from uracil-32 in the23S rRNA/tRNA pseudouridine synthase A
CDS	STM0096	110002	112908	11	ATP-dependent helicase HepA; transcriptionregulator that activates transcription by stimulating RNARNA polymerase-associated protein RapA
CDS	STM0097	113082	115433	11	Has polymerase, DNA-binding and 3'-5' exonucleaseactivities. In Aeropyrum pernix this protein is sensitiveDNA polymerase II
CDS	STM0098	115477	116097	11	hypothetical protein
CDS	STM0102	118077	119579	11	catalyzes the formation of L-ribulose fromL-arabinose in L-arabinose catabolismL-arabinose isomerase
CDS	STM0103	119590	121299	11	catalyzes the phosphorylation of ribulose toribulose 5-phosphateribulokinase
CDS	STM0104	121640	122485	0	positive and negative regulator; regulates thearaBAD and araFGH operons and other genes involved in theDNA-binding transcriptional regulator AraC
CDS	STM0105	122604	123371	0	DedA familyDedA family membrane protein
CDS	STM0106	123410	124117	11	with TbpA and ThiP is part of the thiamine and TPPtransport systemthiamine ABC transporter ATP-binding protein
CDS	STM0107	124101	125711	11	permease; with TbpA and ThiQ functions in transportof thiamine and thiamine pyrophosphate into the cell;thiamine ABC transporter permease ThiP
CDS	STM0108	125687	126670	11	part of the thiamine and TPP transport systemtbpA-thiPQthiamine ABC transporter substrate-bindingprotein ThiP
