type	locus	start	end	orientation	annot
CDS	STM0001	190	STM0014	15961	
CDS	STM0018	17867	19966	0	exochitinase
CDS	STM0098	115477	116097	11	hypothetical protein
CDS	STM0102	118077	119579	11	catalyzes the formation of L-ribulose fromL-arabinose in L-arabinose catabolismL-arabinose isomerase
CDS	STM0248	288244	288810	0	Converts the D-glycero-beta-D-manno-heptose1,7-bisphosphate intermediate intoD-glycero-beta-D-manno-heptose-1,7-bisphosphate7-phosphatase
gene	STM0249	289189	290732	0	
CDS	STM0276	316893	317378	0	cytoplasmic protein
CDS	STM0292	337095	337835	0	RHS family protein
CDS	STM0303	346974	347795	0	xylanase/chitin deacetylase
CDS	STM0307	350943	351350	11	VirG-like protein
gene	STM0323	368796	368871	0	
CDS	STM0327	370739	371062	0	cytoplasmic protein
CDS	STM0355	401402	401596	0	copper chaperone
CDS	STM0373	425165	428101	0	hypothetical protein
CDS	STM0437	490256	491767	0	periplasmic protein
CDS	STM0439	493354	494244	11	converts protoheme IX and farnesyl diphosphate toheme Oprotoheme IX farnesyltransferase
CDS	STM0549	610256	610888	11	activates the production of the major fimbraeprotein FimAtranscriptional regulator FimZ
CDS	STM0569	625635	626882	11	mechanosensitive channel protein
CDS	STM0718	782991	783731	0	cytoplasmic protein
CDS	STM0726	791776	793671	0	glycosyl transferase
CDS	STM0798	864433	866454	0	The UvrABC repair system catalyzes the recognitionand processing of DNA lesions. The beta-hairpin of theexcinuclease ABC subunit B
CDS	STM0800	866944	869241	0	leucine-rich repeat protein SlrP; secreted bySPI-1; type III secretionE3 ubiquitin-protein ligase SlrP
CDS	STM0848	918101	919972	0	with GsiBCD is involved in glutathione import; GsiAcontains 2 ATP-binding domainsglutathione ABC transporter ATP-binding proteinGsiA
CDS	STM0849	920005	921543	0	glutathione ABC transporter substrate-bindingprotein GsiB
CDS	STM0855	926719	927468	0	electron transfer protein subunit beta
CDS	STM0856	927479	928426	0	electron transfer protein subunit alpha
CDS	STM0892	962001	962516	11	induced during stationary phase and by acivicin (aglutamine analog); regulated by Lrp and RpoSlipoprotein
CDS	STM0931	1005687	1006517	0	aminidase
CDS	STM0945	1022698	1024974	0	ATPase and specificity subunit of the ClpA-ClpP ATPdependent serine protease; directs protease to specificATP-dependent Clp protease ATP-binding subunit
CDS	STM0950	1027679	1028356	11	SlsA protein
CDS	STM0959	1036742	1037236	0	mediates a global response to leucine; acts as aregulator for several genes involved in the high-affinityleucine-responsive transcriptional regulator
CDS	STM0961	1041566	1042180	0	participates with LolB in the incorporation oflipoprotein into the outer membraneouter-membrane lipoprotein carrier protein
CDS	STM0999	1089781	1090872	11	outer membrane protein F precursor; porin;(SW:OMPF_SALTY)outer membrane protein F
CDS	STM1058	1146961	1147971	0	catalyzes the conversion of dihydroorotate toorotate in the pyrimidine biosynthesis pathway; uses adihydroorotate dehydrogenase 2
CDS	STM1088	1176450	1177325	11	secreted effector protein PipB; similar to STM2780;secreted by SPI-2; type III secretion; localizes topathogenicity island-encoded protein B
CDS	STM1089	1177543	1177863	0	pathogenicity island-encoded protein
