type	locus	start	end	orientation	annot
gene	STM0001	190	255	0	
CDS	STM0001	190	255	0	thr operon leader peptide
RBS	STM0002	325	330	0	
CDS	STM0002	337	2799	0	multifunctional homotetrameric enzyme thatcatalyzes the phosphorylation of aspartate to formbifunctional aspartokinase I/homoserinedehydrogenase I
RBS	STM0002	2789	2794	0	
gene	STM0003	2801	3730	0	
CDS	STM0003	2801	3730	0	catalyzes the formation of O-phospho-L-homoserinefrom L-homoserine in threonine biosynthesis from asparatehomoserine kinase
RBS	STM0003	3722	3727	0	
gene	STM0004	3734	5020	0	
CDS	STM0004	3734	5020	0	catalyzes the formation of L-threonine fromO-phospho-L-homoserinethreonine synthase
gene	STM0005	5114	5887	11	
CDS	STM0005	5114	5887	11	hypothetical protein
RBS	STM0006	5893	5898	11	
CDS	STM0006	5966	7396	11	alanine/glycine transport protein
RBS		7402	7407	11	
gene	STM0007	7665	8618	0	
CDS	STM0007	7665	8618	0	Maintains the balance of metabolites in thepentose-phosphate pathwaytransaldolase B
RBS	STM0008	8718	8723	0	
CDS	STM0008	8729	9319	0	forms a trimer; related to eukaryotic proteingephyrin; functions during molybdenum cofactormolybdochetalase
gene	STM0009	9376	9942	11	
CDS	STM0009	9376	9942	11	hypothetical protein
RBS	STM0010	9945	9950	11	
CDS	STM0010	10092	10805	11	hypothetical protein
RBS	STM0011	10806	10811	11	
CDS	STM0011	10841	11245	11	hypothetical protein
RBS		11250	11255	11	
gene	STM0012	11593	13509	0	
CDS	STM0012	11593	13509	0	heat shock protein 70; assists in folding ofnascent polypeptide chains; refolding of misfoldedchaperone protein DnaK
RBS	STM0013	13577	13582	0	
CDS	STM0013	13595	14734	0	chaperone Hsp40; co-chaperone with DnaK;Participates actively in the response to hyperosmotic andchaperone protein DnaJ
RBS	STM0014	15007	15012	0	
CDS	STM0014	15014	15961	0	LysR family transcriptional regulator
RBS	STM0015	16083	16088	0	
CDS	STM0015	16088	16432	0	bacteriophage protein
gene	STM0016	16493	17026	11	
CDS	STM0016	16493	17026	11	hypothetical protein
RBS	STM0017	17028	17033	11	
CDS	STM0017	17043	17486	11	hypothetical protein
RBS		17488	17493	11	
gene	STM0018	17867	19966	0	
CDS	STM0018	17867	19966	0	exochitinase
RBS	STM0019	20051	20056	0	
CDS	STM0019	20058	23054	0	hydroxymethyltransferase
gene	STM0020	23335	24039	0	
CDS	STM0020	23335	24039	0	cytoplasmic protein
RBS	STM0021	24462	24467	0	
CDS	STM0021	24469	25011	0	fimbrial subunit
RBS	STM0022	25105	25110	0	
CDS	STM0022	25112	25798	0	fimbrial chaperone
gene	STM0023	25803	28424	0	
CDS	STM0023	25803	28424	0	bovine colonization factor BcfCfimbrial usher
RBS	STM0023	28410	28415	0	
gene	STM0024	28425	29432	0	
CDS	STM0024	28425	29432	0	fimbrial subunit
RBS	STM0024	29418	29423	0	
gene	STM0025	29433	29978	0	
CDS	STM0025	29433	29978	0	fimbrial subunit
RBS	STM0026	29977	29982	0	
CDS	STM0026	29994	30512	0	fimbrial subunit
RBS	STM0026	30466	30471	0	
gene	STM0027	30478	31209	0	
CDS	STM0027	30478	31209	0	fimbrial chaperone
RBS	STM0028	31270	31275	0	
CDS	STM0028	31274	32119	0	thiol-disulfide isomerase
gene	STM0028	32116	32445	0	
CDS	STM0028	32116	32445	0	hypothetical protein
