segment	start	end	startPos	endPos		
1	STM001	STM0014	190	15961
2	STM0018	STM0098	17867	116097		
3	STM0102	STM0248	118077	288810		
4	STM0249	STM0276	289189	317378		
5	STM0292	STM0303	337095	347795		
6	STM0307	STM0323	350943	368871		
7	STM0327	STM0355	370739	401596		
8	STM0373	STM0437	425165	491767		
9	STM0439	STM0549	493354	610888		
10	STM0569	STM0718	625635	783731		
11	STM0726	STM0798	791776	866454		
12	STM0800	STM0848	866944	919972		
13	STM0849	STM0855	920005	927468		
14	STM0856	STM0892	927479	962516		
15	STM0931	STM0945	1005687	1024974		
16	STM0950	STM0959	1027679	1037236		
17	STM0961	STM0999	1041566	1090872		
18	STM1058	STM1088	1146961	1177325		
19	STM1089	STM1224	1177543	1310854		
20	STM1225	STM1419	1311183	1499391		
21	STM1422	STM1628	1500431	1719098		
22	STM1637	STM1771	1726876	1870353		
23	STM1781	STM1800	1878833	1899712		
24	STM1802	STM1854	1901605	1951727		
25	STM1873	STM1956	1968296	2045466		
26	STM1957	STM1999	2045735	2081870		
27	STM2001	STM2006	2082351	2086237		
28	STM2008	STM2057	2088672	2132654		
29	STM2066	STM2080	2141570	2159124		
30	STM2089	STM2116	2169999	2201059		
31	STM2119	STM2149	2203325	2243839		
32	STM2153	STM2203	2247906	2303516		
33	STM2204	STM2208	2303581	2309634		
34	STM2255	STM2274	2353683	2379299		
35	STM2276	STM2286	2380316	2394300		
36	STM2331	STM2371	2441995	2484596		
37	STM2418	STM2513	2532075	2633708		
38	STM2514	STM2583	2634402	2728571		
39	STM2634	STM2655	2775045	2796235		
40	STM2657	STM2688	2796755	2826966		
41	STM2691	STM2692	2840524	2843875		
42	STM2773	STM2774	2916377	2921226		
43	STM2784	STM2820	2932359	2969556		
44	STM2825	STM2866	2970555	3011722		
45	STM2908	STM2946	3049599	3088923		
46	STM2948	STM3031	3090711	3193638		
47	STM3033	STM3280	3195156	3448074		
48	STM3281	STM3282	3448253	3451382		
49	STM3296	STM3374	3464690	3544559		
50	STM3376	STM3392	3547011	3565843		
51	STM3399	STM3478	3572482	3635028		
52	STM3493	STM3589	3646653	3759992		
53	STM3597	STM3619	3768593	3803466		
54	STM3624	STM3690	3806420	3881184		
55	STM3692	STM3889	3885912	4099665		
56	STM3897	STM4131	4105545	4350750		
57	STM4136	STM4196	4356373	4418646		
58	STM4276	STM4279	4515859	4518886		
59	STM4325	STM4407	4569529	4645019		
60	STM4408	STM4473	4645202	4715489		
61	STM4496	STM4522	4746985	4776973		
62	STM4524	STM4530	4777606	4787256		
63	STM4541	STM4552	4799699	4810597		
64	STM4555	STM4595	4810861	4853394
